135,Nine Card Wild Discard II,Stud,7,6,0,5,9,2,Jon Shemitz,http://www.midnightbeach.com/jon/poker/variations.html
136,No Low,Stud,5,4,0,8,17,2,Home Poker Cookbook,http://www.homepoker.com/games01.asp?group=pokerists_cookbook
137,Numbers,Nonpoker,5,8,0,9,5,2,Tim P. McNerny,http://users.erols.com/hondo/poker.html compiled by Tim P. McNerny
138,Oklahoma Lowball,Stud,5,4,0,10,5,2,Poker Tips,http://www.pokertips.org/variants/
139,Option Alley,Stud,5,5,0,8,6,2,Wikipedia,http://en.wikipedia.org/wiki/Poker
140,Pass or Drop,Stud,5,4,0,10,5,2,Scarne's Guide to Modern Poker,http://www.amazon.com/exec/obidos/ASIN/0671530763/qid=1124201165/sr=2-1/ref=pd_bbs_b_2_1/102-4548851-4904951
141,Pig,Stud,5,4,0,6,9,2,Wikipedia,http://en.wikipedia.org/wiki/Poker
142,Pistol Pete,Stud,5,5,0,10,5,2,Hoyle,http://www.amazon.com/exec/obidos/search-handle-form/102-4548851-4904951
143,Pure Luck,Stud,5,3,0,10,5,2,Poker Mike,http://www.pokermike.com/poker/
144,Raze,Stud,5,4,0,10,5,2,Source misplaced,N/A
145,Satan,Stud,5,4,0,10,5,2,Poker Mike,http://www.pokermike.com/poker/
146,Showdown Straight,Stud,5,0,0,10,5,2,Scarne's Guide to Modern Poker,http://www.amazon.com/exec/obidos/ASIN/0671530763/qid=1124201165/sr=2-1/ref=pd_bbs_b_2_1/102-4548851-4904951
147,Six Card Stud,Stud,6,5,0,8,6,2,Wikipedia,http://en.wikipedia.org/wiki/Poker
148,Soko,Stud,5,4,0,10,5,2,Wikipedia,http://en.wikipedia.org/wiki/Poker
149,Spanish Stud,Stud,5,4,0,6,5,2,Home Poker Cookbook,http://www.homepoker.com/games01.asp?group=pokerists_cookbook
150,Stud with Spit,Stud,5,4,3,10,5,2,Hoyle,http://www.amazon.com/exec/obidos/search-handle-form/102-4548851-4904951
151,The Deck,Stud,5,4,0,10,5,2,Home Poker Cookbook,http://www.homepoker.com/games01.asp?group=pokerists_cookbook
152,The Game,Stud,5,5,0,5,10,2,Public Domain,N/A
153,Three Card Monte,Stud,3,3,0,17,3,2,Poker Mike,http://www.pokermike.com/poker/
154,Three Card Substitution,Stud,5,7,0,6,8,2,Poker Mike,http://www.pokermike.com/poker/
155,Three Out of Five,Stud,5,4,0,10,5,2,Source misplaced,N/A
156,Turbo,Stud,5,4,0,7,7,2,Game Report,http://www.gamereport.com/poker/
157,Uncle Bob,Stud,5,4,0,10,5,2,Two Plus Two Forums,http://forumserver.twoplustwo.com/ubbthreads.php
158,Who da Babby Daddy Is?,Stud,5,3,40,10,5,2,Invented Poker Variations,http://www.pagat.com/invented/poker_vars.html
159,.357 Magnum,Stud,7,5,8,7,7,3,Thursday Cards,http://www.simplephrase.com/thursdaycards.html
160,2001,Stud,7,5,7,7,7,3,Tom Jolly,http://www.silcom.com/~tomjolly/poker_sf.htm
161,Ace in the Hole,Stud,7,5,4,7,7,3,Poker Phil,http://www.notdeadyet.com/pokerphil/games.html
162,Ambivalent Clubs,Stud,7,5,13,7,7,3,Jon Shemitz,http://www.midnightbeach.com/jon/poker/variations.html
163,Any Hole Card,Stud,7,5,28,7,7,3,Hoyle,http://www.amazon.com/exec/obidos/search-handle-form/102-4548851-4904951
164,Auction,Stud,7,5,0,7,7,3,Public Domain,N/A
165,Auctioneer,Stud,7,5,0,7,7,3,Poker Mike,http://www.pokermike.com/poker/
166,Australian Stud,Stud,6,5,0,7,7,3,Wikipedia,http://en.wikipedia.org/wiki/Poker
167,Baseball,Stud,7,5,8,6,11,3,Public Domain,N/A
168,Beat It,Nonpoker,7,301,0,7,7,3,Public Domain,N/A
169,Ben Franklin,Stud,7,5,8,7,7,3,Public Domain,N/A
170,Betty Hutton,Stud,7,5,8,7,7,3,Poker.Net Glossary,http://www.poker.net/school/glossary/default.htm
171,Witch,Stud,7,5,0,7,7,3,Joker Poker,http://www.freewebs.com/jokerpoker/
172,Canine Poker,Stud,7,5,8,7,7,3,Rec.Gambling.Poker,N/A
173,Chicago,Stud,7,5,0,7,7,3,Public Domain,N/A
174,Choose Your Own,Stud,7,5,0,7,31,3,Softsource,http://www.softsource.com/softsource/poker.html
175,Control,Stud,7,5,0,7,7,3,Poker Phil,http://www.notdeadyet.com/pokerphil/games.html
176,Count Your Diamonds,Stud,7,5,0,7,7,3,Joker Poker,http://www.freewebs.com/jokerpoker/
177,Countdown,Stud,7,5,4,7,7,3,Home Poker Cookbook,http://www.homepoker.com/games01.asp?group=pokerists_cookbook
178,Cowboys,Stud,7,5,0,7,11,3,Sweet Foca,http://sweetfoca.com/Poker.html
179,Cowpie,Stud,7,6,0,7,7,3,Public Domain,N/A
180,Cut it Off,Guts,7,104,0,7,7,3,Tom Jolly,http://www.silcom.com/~tomjolly/poker_sf.htm
181,Deadlands,Stud,7,5,2,7,7,3,Other Worlds Poker,http://www.geocities.com/grifflik/Shelter-Otherworlds-Poker.html
182,Dice,Stud,7,5,12,7,7,3,Sanjay Udani,http://www.cis.upenn.edu/~udani/cardgames.html
183,Dirty Shultz,Stud,7,5,4,7,7,3,Public Domain,N/A
184,Dots,Nonpoker,7,5,0,7,7,3,Two Plus Two Forums,http://forumserver.twoplustwo.com/ubbthreads.php
185,Dr. Pepper,Stud,7,5,12,7,7,3,Other Worlds Poker,http://www.geocities.com/grifflik/Shelter-Otherworlds-Poker.html
186,Eight Ball,Nonpoker,7,5,0,7,7,3,Poker Phil,http://www.notdeadyet.com/pokerphil/games.html
187,Eight Card Stud,Stud,8,6,0,6,8,3,Home Poker Cookbook,http://www.homepoker.com/games01.asp?group=pokerists_cookbook
188,English Stud,Stud,5,5,0,7,7,3,Public Domain,N/A
189,Evil Wilds,Stud,7,1,8,7,7,3,Ox House,http://oxhouse.org/~brent/writing/poker/
190,Flick a Booger in Your Neighbor's Stew,Stud,7,5,4,7,7,3,Brian O'Neil's Poker Page,http://www.oinc.net/poker/
191,Flip Seven,Stud,7,4,0,7,7,3,Source misplaced,N/A
192,Float Your Boat,Stud,7,5,0,7,7,3,Poker Mike,http://www.pokermike.com/poker/
193,Floater,Stud,7,5,0,8,7,3,Two Plus Two Forums,http://forumserver.twoplustwo.com/ubbthreads.php
194,Follow the Queen,Stud,7,5,4,7,7,3,Public Domain,N/A
195,Fourplay,Stud,7,5,0,6,11,3,Poker News,http://www.pokernews.info/poker-variants/
196,Fuzzy Stud,Stud,7,5,35,7,7,3,Aidtopia,http://www.aidtopia.com/communities/poker/
197,Girl's Best Friend,Stud,7,5,13,7,7,3,Source misplaced,N/A
198,Hamlet,Stud,7,5,4,7,7,3,Legion West,http://interoz.com/madhatters/legionwest/poker.htm
199,Have a Heart,Stud,7,5,0,7,11,3,Public Domain,N/A
200,Heinz 57,Stud,7,5,8,7,7,3,Public Domain,N/A
201,High/Low 8 or Better,Stud,7,5,0,7,7,3,Public Domain,N/A
202,Hoosier Seven Card Stud,Stud,7,4,0,7,7,3,Two Plus Two Forums,http://forumserver.twoplustwo.com/ubbthreads.php
203,Insanity,Stud,7,5,12,7,7,3,Source misplaced,N/A
204,Iron Chef,Stud,7,5,0,7,7,3,P. D. Magnus,http://www.fucundity.com/pmagnus/poker.html
205,J-2-7,Stud,7,5,8,7,7,3,Graham's Card Club,http://www.gccpokertables.com/
206,Jacks and Fives,Stud,7,5,4,7,7,3,Joker Poker,http://www.freewebs.com/jokerpoker/
207,Joker Twist,Stud,7,5,6,7,7,3,John McLeod,http://www.pagat.com/invented/index.html
208,Kanakee,Stud,7,6,28,7,7,3,Poker Phil,http://www.notdeadyet.com/pokerphil/games.html
209,King Little II,Stud,7,5,32,7,7,3,Graham's Card Club,http://www.gccpokertables.com/
210,Liebscher,Stud,7,5,0,7,7,3,Tom Jolly,http://www.silcom.com/~tomjolly/poker_sf.htm
211,Low in the Hole,Stud,7,5,28,7,7,3,Source misplaced,N/A
212,Luck of the Irish,Stud,7,5,4,7,8,3,Invented Poker Variations,http://www.pagat.com/invented/poker_vars.html
213,Ma Furgeson,Stud,7,5,28,7,7,3,Poker Phil,http://www.notdeadyet.com/pokerphil/games.html
214,Macintosh,Stud,7,5,35,7,7,3,Poker Phil,http://www.notdeadyet.com/pokerphil/games.html
215,Manslaughter,Stud,7,5,0,7,7,3,Brian O'Neil's Poker Page,http://www.oinc.net/poker/
216,Mao,Stud,7,5,26,7,7,3,Source misplaced,N/A
217,Marriage,Stud,7,5,8,7,7,3,Aidtopia,http://www.aidtopia.com/communities/poker/
218,Mississippi Stud,Stud,7,4,0,7,7,3,David Zanetti,http:// www.geocities.com/mississippi_seven/
